,time,Lizzy_angle,Perry_angle,BentHighNick_angle,radius,frames
142,2012-05-09 01:00:00,291.3260724102773,143.25893389926307,253.48782294941105,0.0,7773
144,2012-05-09 01:30:00,280.2958414296385,150.19156598681695,265.5034319720749,0.00030807147258163895,7774
169,2012-05-09 07:45:00,324.1202882031244,244.02565334883417,271.7492385018398,0.004158964879852125,7786
239,2012-05-10 01:15:00,295.84211932433016,158.2295836765869,295.95188850894965,0.01494146642020949,7822
246,2012-05-10 03:00:00,331.1424623677439,149.6012812415405,330.50166492393834,0.016019716574245224,7826
264,2012-05-10 07:30:00,195.91142973896416,148.98268749757997,276.5892914715661,0.018792359827479975,7835
331,2012-05-11 00:15:00,265.36422400775376,283.2325377052993,356.6127309847514,0.02911275415896488,7869
338,2012-05-11 02:00:00,298.47029821093787,294.42567836316016,302.3000624272036,0.030191004313000615,7872
359,2012-05-11 07:15:00,46.91711513301004,325.1890041214311,44.911527165976054,0.03342575477510783,7883
387,2012-05-11 14:15:00,231.94821331353256,205.71220570214248,86.22691243981137,0.03773875539125077,7897
390,2012-05-11 15:00:00,216.99460881685383,187.08073515890348,54.87232110661182,0.03820086260012323,7899
432,2012-05-12 01:30:00,113.70278745310554,141.3854704710527,67.14058977797634,0.04467036352433765,7920
435,2012-05-12 02:15:00,263.70987083192665,150.09432932488414,299.46635118703347,0.045132470733210105,7922
455,2012-05-12 07:15:00,252.45305630908223,243.39082216292007,309.8032525368989,0.048213185459026496,7932
461,2012-05-12 08:45:00,250.0155187530218,245.97227583278797,279.8982259764939,0.04913739987677141,7935
482,2012-05-12 14:00:00,302.6667155852789,166.78355043118313,227.5789288982565,0.05237215033887862,7946
485,2012-05-12 14:45:00,286.321504089754,146.99165630515768,206.26482163981368,0.052834257547751076,7947
550,2012-05-13 07:00:00,327.5909213473732,270.92522974918586,271.3025598476642,0.06284658040665435,7981
576,2012-05-13 13:30:00,329.3739716994091,262.81754273156463,48.026938966510954,0.06685150955021565,7994
579,2012-05-13 14:15:00,335.0903996346876,247.93331421706347,35.94279496135374,0.0673136167590881,7995
584,2012-05-13 15:30:00,351.51425667399565,209.05898917348563,67.42128056885798,0.0680837954405422,7998
624,2012-05-14 01:30:00,292.12705125388186,178.0593916156024,295.23178909093593,0.07424522489217499,8018
674,2012-05-14 14:00:00,342.82950317383074,132.02567142893884,249.5115209937867,0.08194701170671596,8044
681,2012-05-14 15:45:00,262.9961386477489,164.47566839000297,298.8023695217582,0.0830252618607517,8047
722,2012-05-15 02:00:00,267.24717623890035,254.68971315920192,262.294164253351,0.0893407270486753,8068
725,2012-05-15 02:45:00,257.260976585115,275.3222815421428,277.8951103124123,0.08980283425754775,8070
747,2012-05-15 08:15:00,238.66207441399345,261.9836863279403,243.29248946928087,0.09319162045594578,8081
771,2012-05-15 14:15:00,268.02606112915333,252.71459219581087,337.6805226092964,0.09688847812692544,8093
775,2012-05-15 15:15:00,233.55088772685497,278.4083809073908,351.78760416503656,0.09750462107208872,8095
813,2012-05-16 00:45:00,301.8486844951442,277.8629490049042,265.2001626291483,0.10335797905113986,8115
817,2012-05-16 01:45:00,274.66554789542045,259.50134726046394,260.8384008295363,0.10397412199630314,8117
820,2012-05-16 02:30:00,302.983158283989,261.11155276290435,263.28941686230274,0.1044362292051756,8118
863,2012-05-16 13:15:00,258.8499754887109,289.8136131558458,306.18060692746275,0.11105976586568084,8140
915,2012-05-17 02:15:00,284.84170554043095,312.37768068159244,289.1516643253327,0.11906962415280345,8167
938,2012-05-17 08:00:00,292.564598287989,267.37364711547207,231.133428171761,0.1226124460874923,8179
1005,2012-05-18 00:45:00,299.754998215849,265.6764950340282,70.48945093239615,0.1329328404189772,8213
1009,2012-05-18 01:45:00,305.0716309258693,272.63944622756907,76.20706255445248,0.13354898336414048,8215
1033,2012-05-18 07:45:00,337.3053044955719,278.3271085350115,76.78867307328437,0.13724584103512014,8227
1059,2012-05-18 14:15:00,309.3612567347022,216.0218244647483,58.512857449635646,0.14125077017868146,8240
1066,2012-05-18 16:00:00,330.8574312268996,178.00853811205445,67.71151300666509,0.1423290203327172,8244
1099,2012-05-19 00:15:00,292.1243017944697,153.42154496618355,39.53201963288092,0.14741219963031424,8261
1104,2012-05-19 01:30:00,278.14610893245003,161.00204764589728,340.67330448966806,0.14818237831176834,8263
1105,2012-05-19 01:45:00,267.20072750861686,151.01373084562567,341.45922717023893,0.14833641404805914,8264
1106,2012-05-19 02:00:00,283.6269294223129,143.4993979585745,318.957734974615,0.14849044978434997,8264
1128,2012-05-19 07:30:00,354.57217627052324,293.07487167371096,275.658464971344,0.151879235982748,8276
1205,2012-05-20 02:45:00,309.774417067004,146.57573584129204,148.24917277060922,0.1637399876771411,8315
1250,2012-05-20 14:00:00,300.13669854663766,172.37412842377273,30.57191534814234,0.17067159581022798,8338
1255,2012-05-20 15:15:00,290.996070751549,181.11528885394463,30.57191534814234,0.17144177449168208,8340
1295,2012-05-21 01:15:00,259.3085815491328,255.0737466656609,241.33873568175684,0.17760320394331486,8361
1300,2012-05-21 02:30:00,176.40799297439173,292.28697716105313,260.04819095166795,0.17837338262476896,8363
1319,2012-05-21 07:15:00,199.7777391748583,312.34309346870106,275.88264387998134,0.18130006161429452,8373
1350,2012-05-21 15:00:00,322.4020156391763,32.736112920243386,304.4433466326864,0.1860751694393099,8389
1394,2012-05-22 02:00:00,219.74105300316535,149.92749969213344,81.0762598193109,0.19285274183610598,8411
1421,2012-05-22 08:45:00,269.2773511378764,167.60576816681055,291.8846710612391,0.1970117067159581,8425
1439,2012-05-22 13:15:00,271.838199855967,164.83682765718186,296.97988518144365,0.19978434996919286,8434
1444,2012-05-22 14:30:00,287.29926730517514,162.66696658543037,349.94273119914385,0.20055452865064696,8437
1447,2012-05-22 15:15:00,292.03231061799426,162.39179406436233,298.14578494907227,0.2010166358595194,8438
1484,2012-05-23 00:30:00,272.35465146695896,165.36017654234706,76.35104234356345,0.20671595810227972,8457
1486,2012-05-23 01:00:00,244.30229872350745,158.54882904413626,76.64557747725075,0.20702402957486138,8458
1489,2012-05-23 01:45:00,271.0566002266887,146.87369169772626,73.42528282679774,0.20748613678373382,8460
1491,2012-05-23 02:15:00,234.5020131188611,147.74904078058637,75.0965138033273,0.20779420825631548,8461
1493,2012-05-23 02:45:00,249.24838696678444,140.94030169422575,72.94932349381531,0.2081022797288971,8462
1516,2012-05-23 08:30:00,238.36665733516833,138.3586813534094,80.96369669433744,0.21164510166358594,8473
1536,2012-05-23 13:30:00,255.60493005006447,151.65427362774835,39.80122565785939,0.21472581638940233,8484
1539,2012-05-23 14:15:00,328.21620825779286,162.05192997002723,46.70188096397305,0.2151879235982748,8485
1542,2012-05-23 15:00:00,258.16029446741857,180.2664251329605,42.24237437475461,0.21565003080714726,8487
1588,2012-05-24 02:30:00,240.4851558087639,253.0895476651179,74.61384454707093,0.22273567467652494,8510
1611,2012-05-24 08:15:00,256.12910852446635,278.14610893245003,72.06268675844473,0.2262784966112138,8522
1612,2012-05-24 08:30:00,238.21947546121356,279.6613175028859,82.0936555086854,0.22643253234750463,8522
1631,2012-05-24 13:15:00,294.1680305421746,180.2526251882093,29.166486913821306,0.2293592113370302,8532
1638,2012-05-24 15:00:00,203.00280806132855,138.5328614292181,44.25559387495093,0.23043746149106592,8536
1640,2012-05-24 15:30:00,154.4417441530337,143.04848682047304,51.11181793837818,0.23074553296364755,8537
1683,2012-05-25 02:15:00,306.90322336668254,146.77018141154372,55.70434586892378,0.2373690696241528,8559
1685,2012-05-25 02:45:00,256.64791901365794,161.0738173812698,56.56311649183522,0.23767714109673443,8560
1707,2012-05-25 08:15:00,283.09946742950206,269.70400188245344,45.77196624207255,0.24106592729513246,8571
1726,2012-05-25 13:00:00,292.3719598786747,221.02443035521705,48.744713941348266,0.24399260628465805,8581
1729,2012-05-25 13:45:00,351.2764045287739,259.6213626051583,35.94279496135374,0.2444547134935305,8582
1733,2012-05-25 14:45:00,243.3128998028756,295.7931451376071,25.4017098031876,0.24507085643869378,8584
1735,2012-05-25 15:15:00,269.64547608622854,306.01418367211903,19.48498096559399,0.2453789279112754,8585
1771,2012-05-26 00:15:00,225.94924277999385,141.97237786339235,74.92392055464546,0.25092421441774493,8604
1778,2012-05-26 02:00:00,249.1006903090609,151.7680469569807,73.37851824359018,0.25200246457178066,8607
1802,2012-05-26 08:00:00,306.48928959259933,155.0384667855444,54.43879798508664,0.2556993222427603,8619
1823,2012-05-26 13:15:00,268.7895318500555,161.129877910412,22.78242727409355,0.2589340727048675,8630
1828,2012-05-26 14:30:00,230.6465556595373,157.21946669009515,39.81579659735485,0.25970425138632164,8633
1829,2012-05-26 14:45:00,271.3025598476642,147.57729075261182,59.55463325967423,0.25985828712261244,8633
1867,2012-05-27 00:15:00,206.8112984410836,185.90308385285633,70.94694544547872,0.26571164510166356,8653
1897,2012-05-27 07:45:00,253.74955773755983,166.654493625795,80.0696029655079,0.27033271719038815,8668
1918,2012-05-27 13:00:00,243.1586604255919,157.67347888110248,77.00142964622842,0.2735674676524954,8679
1923,2012-05-27 14:15:00,186.84953731026425,132.86716565155496,80.62288024781458,0.27433764633394947,8681
1924,2012-05-27 14:30:00,237.28221319674316,143.33085451659304,79.56243444729222,0.2744916820702403,8682
1969,2012-05-28 01:45:00,269.5581032868166,321.0091323275326,72.51339027694718,0.2814232902033272,8705
1970,2012-05-28 02:00:00,264.4139413698046,335.8282359885425,72.61850489215533,0.281577325939618,8705
1993,2012-05-28 07:45:00,342.1968490406447,295.61751017273775,71.34245131445044,0.28512014787430684,8717
2018,2012-05-28 14:00:00,288.97963466689134,153.85224985222249,56.97037485144443,0.2889710412815773,8730
2019,2012-05-28 14:15:00,344.2635337491312,191.93062370935388,74.5851612797569,0.28912507701786816,8730
2064,2012-05-29 01:30:00,271.7651757773926,177.65261383300708,78.18070653326612,0.296056685150955,8753
2113,2012-05-29 13:45:00,245.610033212649,203.5569716629944,76.97991809575228,0.3036044362292052,8778
2159,2012-05-30 01:15:00,259.80727450461455,270.80839064072154,75.70357581121442,0.31069008009858284,8802
2208,2012-05-30 13:30:00,359.06137889947684,225.86450792860035,76.73134054903358,0.318237831176833,8827
2215,2012-05-30 15:15:00,183.73329673901236,218.48523183927432,72.43757606483723,0.31931608133086875,8830
2254,2012-05-31 01:00:00,283.6638873357745,269.75102615859777,75.92667915700758,0.32532347504621073,8850
2259,2012-05-31 02:15:00,230.357398304396,266.10986858566895,76.16175447578405,0.3260936537276648,8853
2261,2012-05-31 02:45:00,283.03512219563294,270.88876867648594,74.63921751903246,0.32640172520024646,8854
2285,2012-05-31 08:45:00,248.4586431516883,267.37364711547207,73.20745996501165,0.3300985828712261,8866
2302,2012-05-31 13:00:00,269.84400684967244,273.5890563184909,70.3549261531279,0.33271719038817005,8874
2304,2012-05-31 13:30:00,282.6859025615642,294.88340042619944,78.04453521535152,0.3330252618607517,8875
2309,2012-05-31 14:45:00,305.8987637646777,301.8801545108423,66.57079212723283,0.3337954405422058,8878
2311,2012-05-31 15:15:00,300.10151113799475,300.0668044105522,77.83217612485737,0.33410351201478744,8879
2349,2012-06-01 00:45:00,252.95452330739656,160.6862657763627,72.2823712656413,0.33995686999383856,8898
2354,2012-06-01 02:00:00,230.32389546994153,166.40638308732616,73.62918267231504,0.3407270486752927,8901
2356,2012-06-01 02:30:00,255.0860857609752,148.83999541031957,79.45038548944376,0.3410351201478743,8902
2374,2012-06-01 07:00:00,268.4265563722723,288.4363570900926,72.6881705864202,0.3438077634011091,8911
2380,2012-06-01 08:30:00,271.10853218891026,259.1188977514345,80.4878158098191,0.34473197781885395,8914
2381,2012-06-01 08:45:00,309.12782232187715,265.2001626291483,77.74080985306819,0.3448860135551448,8915
2403,2012-06-01 14:15:00,241.1607615164974,299.37545206512715,76.22950077001963,0.3482747997535428,8926
2404,2012-06-01 14:30:00,239.9002575226976,302.22406733948367,75.69766119694702,0.34842883548983367,8926
2449,2012-06-02 01:45:00,244.33898856904693,280.58510212388046,80.1551646429267,0.3553604436229205,8949
2452,2012-06-02 02:30:00,216.0521688443742,267.8951604529549,81.32114743344454,0.355822550831793,8951
2476,2012-06-02 08:30:00,287.41050180937714,264.68615430263293,74.14240772786275,0.35951940850277264,8963
2505,2012-06-02 15:45:00,280.97146628879534,226.55308063415535,80.38306029732729,0.3639864448552064,8978
2540,2012-06-03 00:30:00,247.82584715212295,301.18635236306966,59.4901456648372,0.3693776956253851,8996
2543,2012-06-03 01:15:00,225.36576247155605,300.2069478350827,75.20284422927546,0.36983980283425755,8997
2547,2012-06-03 02:15:00,324.1202882031244,302.18027839737556,77.03416498841545,0.3704559457794208,8999
2550,2012-06-03 03:00:00,342.3319569866364,307.8507410146392,78.03239635879908,0.3709180529882933,9001
2571,2012-06-03 08:15:00,283.2377552323625,240.9282510134064,74.14792178593217,0.3741528034504005,9012
2592,2012-06-03 13:30:00,325.7918160092293,305.2261771250366,82.02600318907554,0.3773875539125077,9022
2593,2012-06-03 13:45:00,339.2664627185419,290.24660179816965,83.9093738477327,0.3775415896487985,9023
2600,2012-06-03 15:30:00,112.2271201863348,303.37759175319474,81.191032303452,0.37861983980283426,9026
2637,2012-06-04 00:45:00,268.31283430161847,318.7793553380127,79.58422731760828,0.3843191620455946,9045
2644,2012-06-04 02:30:00,243.36897895555205,293.58487121287624,60.05765991494508,0.3853974121996303,9049
2666,2012-06-04 08:00:00,306.9739483548957,229.020284055104,71.22453245794634,0.38878619839802836,9060
2667,2012-06-04 08:15:00,317.93078984604375,219.34469828194705,75.54280523902457,0.38894023413431916,9061
2737,2012-06-05 01:45:00,238.36665733516833,198.09433002831256,71.17944559281625,0.39972273567467653,9096
2739,2012-06-05 02:15:00,240.42312579105723,205.91263195641733,85.5411084258443,0.40003080714725814,9097
2762,2012-06-05 08:00:00,6.34353102311735,305.6760654413178,293.5210689222054,0.403573629081947,9109
2787,2012-06-05 14:15:00,23.927648623440405,327.5099397161551,80.88693942887255,0.4074245224892175,9122
2789,2012-06-05 14:45:00,326.0199670498643,302.18027839737556,80.4095778680416,0.4077325939617991,9123
2826,2012-06-06 00:00:00,290.78316466105593,265.2164259097241,64.33068207234271,0.41343191620455944,9142
